순번,API 통신방식,메뉴 위치,API 명,API ID,실전 TR_ID,모의 TR_ID,HTTP Method,URL 명,실전 Domain,모의 Domain
1,REST,OAuth인증,Hashkey,Hashkey,,,POST,/uapi/hashkey,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
2,WEBSOCKET,OAuth인증,실시간 (웹소켓) 접속키 발급,실시간-000,,,POST,/oauth2/Approval,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
3,REST,OAuth인증,접근토큰폐기(P),인증-002,,,POST,/oauth2/revokeP,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
4,REST,OAuth인증,접근토큰발급(P),인증-001,,,POST,/oauth2/tokenP,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
233,REST,[해외주식] 주문/계좌,해외주식 잔고,v1_해외주식-006,TTTS3012R,VTTS3012R,GET,/uapi/overseas-stock/v1/trading/inquire-balance,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
234,REST,[해외주식] 주문/계좌,해외주식 체결기준현재잔고,v1_해외주식-008,CTRP6504R,VTRP6504R,GET,/uapi/overseas-stock/v1/trading/inquire-present-balance,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443    (output3만 이용 가능)
235,REST,[해외주식] 주문/계좌,해외주식 지정가체결내역조회,해외주식-070,TTTS6059R,모의투자 미지원,GET,/uapi/overseas-stock/v1/trading/inquire-algo-ccnl,https://openapi.koreainvestment.com:9443,미지원
236,REST,[해외주식] 주문/계좌,해외주식 기간손익,v1_해외주식-032,TTTS3039R,모의투자 미지원,GET,/uapi/overseas-stock/v1/trading/inquire-period-profit,https://openapi.koreainvestment.com:9443,모의투자 미지원
237,REST,[해외주식] 주문/계좌,해외주식 매수가능금액조회,v1_해외주식-014,TTTS3007R,VTTS3007R,GET,/uapi/overseas-stock/v1/trading/inquire-psamount,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
238,REST,[해외주식] 주문/계좌,해외주식 정정취소주문,v1_해외주식-003,(미국 정정·취소) TTTT1004U (아시아 국가 하단 규격서 참고),(미국 정정·취소) VTTT1004U (아시아 국가 하단 규격서 참고),POST,/uapi/overseas-stock/v1/trading/order-rvsecncl,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
239,REST,[해외주식] 주문/계좌,해외주식 예약주문접수,v1_해외주식-002,(미국예약매수) TTTT3014U  (미국예약매도) TTTT3016U   (중국/홍콩/일본/베트남 예약주문) TTTS3013U,(미국예약매수) VTTT3014U  (미국예약매도) VTTT3016U   (중국/홍콩/일본/베트남 예약주문) VTTS3013U,POST,/uapi/overseas-stock/v1/trading/order-resv,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
240,REST,[해외주식] 주문/계좌,해외주식 미체결내역,v1_해외주식-005,TTTS3018R,모의투자 미지원,GET,/uapi/overseas-stock/v1/trading/inquire-nccs,https://openapi.koreainvestment.com:9443,미지원
241,REST,[해외주식] 주문/계좌,해외주식 미국주간정정취소,v1_해외주식-027,TTTS6038U,모의투자 미지원,POST,/uapi/overseas-stock/v1/trading/daytime-order-rvsecncl,https://openapi.koreainvestment.com:9443,모의투자 미지원
242,REST,[해외주식] 주문/계좌,해외주식 주문체결내역,v1_해외주식-007,TTTS3035R,VTTS3035R,GET,/uapi/overseas-stock/v1/trading/inquire-ccnl,https://openapi.koreainvestment.com:9443,https://openapivts.koreainvestment.com:29443
243,REST,[해외주식] 주문/계좌,해외주식 결제기준잔고,해외주식-064,CTRP6010R,모의투자 미지원,GET,/uapi/overseas-stock/v1/trading/inquire-paymt-stdr-balance,https://openapi.koreainvestment.com:9443,모의투자 미지원
244,REST,[해외주식] 주문/계좌,해외주식 일별거래내역,해외주식-063,CTOS4001R,모의투자 미지원,GET,/uapi/overseas-stock/v1/trading/inquire-period-trans,https://openapi.koreainvestment.com:9443,모의투자 미지원
245,REST,[해외주식] 주문/계좌,해외주식 미국주간주문,v1_해외주식-026,(주간매수) TTTS6036U (주간매도) TTTS6037U,모의투자 미지원,POST,/uapi/overseas-stock/v1/trading/daytime-order,https://openapi.koreainvestment.com:9443,모의투자 미지원
246,REST,[해외주식] 주문/계좌,해외주식 예약주문조회,v1_해외주식-013,(미국) TTTT3039R (일본/중국/홍콩/베트남) TTTS3014R,모의투자 미지원,GET,/uapi/overseas-stock/v1/trading/order-resv-list,https://openapi.koreainvestment.com:9443,모의투자 미지원
